SHA,Message,Author,Date
0ea6c366f5770f016183513792fce8765df47739,release: v2.7.0-beta.8,Evan You,2022-06-28T02:00:08Z
008d78bd7280716d2d70e150e3ed2ac5ee8497f2,"fix(compiler-sfc): should transform non relative paths when base option is present

fix https://github.com/vitejs/vite-plugin-vue2/issues/14",Evan You,2022-06-28T01:57:19Z
bf64c4da5ca516924d940bb29f3e59b0fa5863c9,release: v2.7.0-beta.7,Evan You,2022-06-27T07:00:30Z
5b94562dcda45be330749400ab00e3037cc8d2a4,chore: create build target dir if does not exist (#12581),草鞋没号,2022-06-27T06:52:28Z
11e4bfe806b574747495edfb9ba22f78676ceb7c,fix: types/v3-directive not published (#12571),lsdsjy,2022-06-27T06:50:41Z
20e7e7e138070a2f0c85f64529c837f00255da1c,release: v2.7.0-beta.6,Evan You,2022-06-26T08:41:54Z
089b27c30b470acd98286ffe072525beb2320dea,"fix(watch): template ref watcher should fire after owner instance mounted hook

fix #12578",Evan You,2022-06-26T08:36:47Z
44ab1cda746252a1a81f88e1a9658d33f484ed41,"fix(reactivity): readonly() compat with classes

fix #12574",Evan You,2022-06-23T00:34:26Z
530b56a36e4689249dce6eba6e5c50e3305346f4,release: v2.7.0-beta.5,Evan You,2022-06-22T02:22:49Z
7a3aa3faac6b8eb066f32813788b4c1d16f34c6b,"fix(watch): fix pre watchers not flushed on mount for nested component

fix #12569",Evan You,2022-06-22T02:20:02Z
fb7f5f0b6741a33960946175c4d8d35e31eee9f6,"chore: remove unused code

Vue 2 has no inline mode so template ref ref_key logic is unnecessary",Evan You,2022-06-22T02:12:52Z
65531f580314d832f44ecd5c782f79da3e977da7,"fix(types): fix instance type inference for setup() with no return value

fix #12568",Evan You,2022-06-22T01:44:41Z
a122bd25c3c453c91a7f35b54b2c75df8b0b1f24,release: v2.7.0-beta.4,Evan You,2022-06-21T02:51:19Z
